"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-","AB","R","H","1B","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","GIDP","GP"
"*04355*","Yordan Alvarez","HOU","OF","3","kyfaess","Active","29","412","4.12","100%","0%","363","67","118","65","20","0","33","75","66","74","1","0","5","3","100"
"*05rat*","James Wood","WSH","OF","2","CLANK","Active","23","411.5","4.07","100%","0%","385","92","104","52","23","1","28","66","81","139","15","2","4","3","101"
"*051wv*","Pete Crow-Armstrong","CHC","OF","5","JMerkle","Active","24","353","3.53","100%","0%","372","65","105","64","16","4","21","53","48","114","25","6","10","2","100"
"*05yo5*","Ben Rice","NYY","1B","7","Sasso","Active","27","343","3.61","100%","0%","352","65","99","50","17","3","29","68","49","94","2","0","3","8","95"
"*04ru7*","Miguel Vargas","CHW","1B,3B","8","kyfaess","Active","26","342.5","3.49","98%","0%","358","67","88","44","22","1","21","60","56","71","11","2","6","6","98"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","9","Greenbet","Active","32","336.5","3.51","100%","0%","352","66","101","60","17","2","22","60","61","97","6","2","5","5","96"
"*05xch*","Junior Caminero","TB","3B","13","Sasso","Active","23","334","3.37","100%","0%","376","63","107","62","16","0","29","62","54","80","2","2","1","18","99"
"*04qk8*","CJ Abrams","WSH","SS","11","Greenbet","Active","25","334","3.44","100%","0%","361","58","99","57","19","2","21","70","35","90","15","4","10","5","97"
"*03e5m*","Bryan Reynolds","PIT","OF","12","GoldTY","Active","31","334","3.31","99%","0%","365","71","103","63","24","2","14","59","64","102","7","0","8","4","101"
"*05gbf*","Jordan Walker","STL","OF","14","kyfaess","Active","24","332.5","3.46","96%","0%","370","63","108","66","20","0","22","76","34","101","13","5","3","8","96"
"*02mwm*","Matt Olson","ATL","1B","15","zyoung51","Active","32","324.5","3.28","100%","0%","386","67","103","52","25","0","26","59","43","105","2","0","2","4","99"
"*04tjl*","Otto Lopez","MIA","SS","16","CLANK","Active","27","322.5","3.29","98%","0%","388","61","130","88","27","6","9","46","20","59","18","3","4","8","98"
"*04b00*","Brice Turang","MIL","2B","17","joeybats","Active","26","319.5","3.36","100%","0%","368","68","96","55","24","3","14","61","56","107","15","3","0","7","95"
"*03cag*","Kyle Schwarber","PHI","UT","19","Jpanner","Active","33","316","3.26","100%","0%","363","59","91","47","10","1","33","61","62","150","2","1","5","1","97"
"*062k5*","Nick Kurtz","ATH","1B","20","Jpanner","Active","23","314","3.41","100%","0%","334","61","89","53","15","1","20","66","76","130","7","1","2","5","92"
"*01fh9*","Bryce Harper","PHI","1B","24","GoldTY","Active","33","313.5","3.1","100%","0%","356","60","92","51","18","2","21","60","62","87","5","4","1","9","101"
"*05u9o*","Sal Stewart","CIN","1B,3B","21","Coop","Active","22","311.5","3.15","99%","0%","376","52","95","52","23","0","20","69","46","91","11","3","2","9","99"
"*04lgp*","Bobby Witt Jr.","KC","SS","22","Hutch","Active","26","310.5","3.3","100%","0%","369","51","103","67","22","1","13","39","41","73","30","5","1","6","94"
"*05yby*","Kevin McGonigle","DET","3B,SS","26","Coop","Active","21","305.5","3.15","98%","0%","364","61","102","71","19","3","9","35","62","59","11","0","3","2","97"
"*04ru5*","Andy Pages","LAD","OF","28","Hutch","Active","25","301","3.01","99%","0%","383","57","103","63","22","1","17","68","34","86","8","6","6","9","100"
"*041pz*","Pete Alonso","BAL","1B","27","Greenbet","Active","31","300.5","2.98","100%","0%","374","61","92","54","17","0","21","66","54","111","4","1","6","10","101"
"*03ynj*","Juan Soto","NYM","OF","32","joeybats","Active","27","299.5","3.61","100%","0%","289","46","83","52","8","2","21","52","60","47","7","3","0","4","83"
"*05jr0*","Alec Burleson","STL","1B,OF","29","Hutch","Active","27","299.5","3.09","99%","0%","372","53","104","65","23","1","15","69","33","61","3","0","4","9","97"
