"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-","IP","ERA","K","W","ER","H","BB","SV","HLD","QS","HB","GP"
"*061yu*","Jacob Misiorowski","MIL","SP","1","Jpanner","Active","24","437","23","100%","0%","115","1.57","173","10","20","61","28","0","0","12","8","19"
"*05u6q*","Cam Schlittler","NYY","SP","4","JMerkle","Active","25","374","17.81","99%","0%","123","2.20","145","9","30","93","25","0","0","12","4","21"
"*052c8*","Cristopher Sanchez","PHI","SP","7","Sethmc44","Active","29","357","17","100%","0%","132.2","2.71","151","12","40","133","25","0","0","14","4","21"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","13","zyoung51","Active","27","335","18.61","100%","0%","119.2","2.78","113","10","37","80","25","0","0","14","3","18"
"*01sb3*","Zack Wheeler","PHI","SP","16","KRetiree","Active","36","331","20.69","99%","0%","100","2.16","117","10","24","66","22","0","0","12","2","16"
"*01uca*","Chris Sale","ATL","SP","20","zyoung51","Active","37","319","17.72","100%","0%","105","2.06","123","10","24","86","25","0","0","11","9","18"
"*05rb3*","Chase Burns","CIN","SP","22","Coop","Active","23","316","16.63","100%","0%","107.2","2.42","124","12","29","80","39","0","0","9","0","19"
"*03caf*","Foster Griffin","WSH","SP,RP","29","Coop","Active","30","307","15.35","92%","0%","117.1","2.68","111","11","35","94","27","0","0","11","7","20"
"*03df2*","Dylan Cease","TOR","SP","35","Sasso","Active","30","301","16.72","100%","0%","104.1","2.67","155","6","31","74","45","0","0","8","3","18"
"*05tzn*","Parker Messick","CLE","SP","41","Hutch","Active","25","292","14.6","98%","0%","117.2","2.68","116","8","35","88","36","0","0","7","1","20"
"*05wru*","Paul Skenes","PIT","SP","42","GoldTY","Active","24","291","13.86","100%","0%","115.1","3.43","138","9","44","94","26","0","0","10","7","21"
"*04n0m*","Logan Gilbert","SEA","SP","43","KRetiree","Active","29","290","14.5","100%","0%","120","3.38","129","8","45","93","25","0","0","9","5","20"
"*05ucd*","Mason Miller","SD","RP","48","kyfaess","Active","27","287","7.17","99%","0%","41.2","0.86","78","2","4","21","15","25","0","0","1","40"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","12","Greenbet","Active","32","282","2.88","100%","0%","85.2","1.79","95","8","17","55","26","0","0","12","6","98"
"*0260v*","Sonny Gray","BOS","SP","55","kyfaess","Active","36","281","15.61","99%","0%","101.2","2.48","90","12","28","86","28","0","0","13","3","18"
"*051bm*","Louis Varland","TOR","RP","56","GoldTY","Active","28","281","6.11","89%","0%","51","1.06","68","3","6","36","13","20","5","0","0","46"
"*05a2d*","Max Meyer","MIA","SP","58","Kipp","Active","27","279","13.95","95%","0%","111","2.68","121","9","33","85","41","0","0","7","7","20"
"*041r1*","Jesus Luzardo","PHI","SP","63","CLANK","Active","28","277","13.85","99%","0%","115.1","3.43","143","9","44","102","37","0","0","10","7","20"
"*05y9r*","Justin Wrobleski","LAD","SP,RP","67","Sethmc44","Active","26","276","16.24","89%","0%","106.2","2.62","80","11","31","87","21","0","0","12","3","17"
"*05y7s*","Nolan McLean","NYM","SP","73","joeybats","Active","24","273","13.65","99%","0%","113.1","3.34","135","7","42","83","41","0","0","11","13","20"
"*04ps7*","Joe Ryan","MIN","SP","75","Hutch","Active","30","271","12.9","99%","0%","114.1","3.38","131","6","43","101","25","0","0","11","5","21"
"*04eor*","Cade Smith","CLE","RP","76","CLANK","Active","27","270","6.14","99%","0%","46.1","2.72","66","3","14","38","11","29","0","0","1","44"
"*05jp7*","Gavin Williams","CLE","SP","80","KRetiree","Active","26","265","13.25","99%","0%","119.1","4.00","145","10","53","100","37","0","0","7","3","20"
"*04eee*","Drew Rasmussen","TB","SP","93","Hutch","Active","30","258","13.58","99%","0%","104.1","3.28","103","8","38","83","18","0","0","10","5","19"
"*029si*","Eduardo Rodriguez","ARI","SP","97","zyoung51","Active","33","256","12.8","91%","0%","116.2","2.62","82","8","34","101","41","0","0","12","0","20"
